消費日,入帳日,說明,地區,兌換日,原幣金額,新台幣金額
108/02/19,108/04/22,"台灣虎(自動分期       3469)分  3期第  3期應付帳款分期未到期金額0.00元            應付總費用年百分率0.00%",TAIPEI,TWD,1,156.00,1,156.00
108/02/20,108/04/23,"VANILLA (自動分期     3592)分  3期第  3期應付帳款分期未到期金額0.00元            應付總費用年百分率0.00%",CHIBA,JPY,4,295.00,1,197.00
108/04/02,108/04/08,"街口電支－全家便利商店",TAIPEI,TWD,22.00,22.00
108/04/02,108/04/08,"街口電支－全家便利商店",TAIPEI,TWD,121.00,121.00
108/04/02,108/04/08,"街口電支－微風台北車站",TAIPEI,TWD,150.00,150.00
108/04/03,108/04/09,"街口電支－統一超商",TAIPEI,TWD,30.00,30.00
108/04/03,108/04/11,"國泰世紀產物保險股份",TAIPEI,TWD,960.00,960.00
108/04/04,108/04/09,"國光汽車客運（股）公司",TAIPEI,TWD,430.00,430.00
108/04/04,108/04/09,"街口電支－全家便利商店",TAIPEI,TWD,40.00,40.00
108/04/04,108/04/09,"街口電支－全家便利商店",TAIPEI,TWD,102.00,102.00
108/04/05,108/04/09,"街口電支－全家便利商店",TAIPEI,TWD,25.00,25.00
108/04/05,108/04/09,"街口電支－全家便利商店",TAIPEI,TWD,79.00,79.00
108/04/06,108/04/09,"街口電支－全家便利商店",TAIPEI,TWD,30.00,30.00
108/04/08,108/04/10,"街口電支－ＯＫ",TAIPEI,TWD,64.00,64.00
108/04/08,108/04/10,"街口電支－統一超商",TAIPEI,TWD,67.00,67.00
108/04/10,108/04/12,"街口電支－全家便利商店",TAIPEI,TWD,30.00,30.00
108/04/10,108/04/12,"街口電支－統一超商",TAIPEI,TWD,50.00,50.00
108/04/12,108/04/16,"街口電支－全家便利商店",TAIPEI,TWD,29.00,29.00
108/04/13,108/04/16,"街口電支－統一超商",TAIPEI,TWD,30.00,30.00
108/04/14,108/04/16,"街口電支－全家便利商店",TAIPEI,TWD,29.00,29.00
108/04/15,108/04/17,"街口電支－全家便利商店",TAIPEI,TWD,30.00,30.00
108/04/16,108/04/18,"街口電支－全家便利商店",TAIPEI,TWD,30.00,30.00
108/04/17,108/04/19,"街口電支－全家便利商店",TAIPEI,TWD,25.00,25.00
108/04/18,108/04/20,"街口電支－全家便利商店",TAIPEI,TWD,25.00,25.00
108/04/18,108/04/20,"街口電支－全家便利商店",TAIPEI,TWD,65.00,65.00
108/04/19,108/04/23,"街口電支－全家便利商店",TAIPEI,TWD,50.00,50.00
108/04/21,108/04/24,"ＰＣＨＯ(分期交易        720)分  3期第  1期應付帳款分期未到期金額480.00元          應付總費用年百分率0.00%",TAIPEI C,TWD,240.00,240.00
108/04/22,108/04/24,"街口電支－全家便利商店",TAIPEI,TWD,25.00,25.00
108/04/22,108/04/24,"街口電支－全家便利商店",TAIPEI,TWD,30.00,30.00
108/04/23,108/04/25,"街口電支－統一超商",TAIPEI,TWD,39.00,39.00
108/04/23,108/04/25,"街口電支－統一超商",TAIPEI,TWD,69.00,69.00
108/04/23,108/04/26,"街口電支－統一超商",TAIPEI,TWD,24.00,24.00
108/04/24,108/04/26,"街口電支－統一超商",TAIPEI,TWD,30.00,30.00
108/04/25,108/04/29,"街口電支－全家便利商店",TAIPEI,TWD,30.00,30.00
108/04/25,108/04/29,"街口電支－統一超商",TAIPEI,TWD,65.00,65.00
108/04/25,108/04/29,"街口電支－全家便利商店",TAIPEI,TWD,67.00,67.00
108/05/03,,"e秒刷/e秒萬事通-網路2.5%",,TWD,-96.00,-96.00
108/05/03,,"e秒刷/e秒萬事通-全新卡友1%",,TWD,-38.00,-38.00
108/05/03,,"e秒刷/e秒萬事通-電子帳單和自扣",,TWD,-19.00,-19.00
108/05/03,,"e秒刷/e秒萬事通-非網路0.5%",,TWD,-16.00,-16.00